VMAF Score,Filename
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_1_compressed_23_a-hidden-life.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_445_compressed_75_army-of-darkness.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_234_compressed_50_beyond-suspicion.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_453_compressed_75_billie.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_244_compressed_50_black-jack-1990.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_466_compressed_75_bortom-tingri.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_483_compressed_75_bridget-joness-baby.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_498_compressed_75_chitty-chitty-bang-bang.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_252_compressed_50_city-slickers.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_506_compressed_75_coq-rouge.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_270_compressed_50_dalida.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_516_compressed_75_de-dodes-tjern-2019.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_528_compressed_75_delicatessen.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_15_compressed_23_detroit.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_542_compressed_75_ett-oga-rott.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_549_compressed_75_fanboys.mp4_frame0.png
97.428043,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_train_compressed2/train_30_compressed_23_god-afton-herr-wallenberg.mp4_frame0.png
